Class,IoU,Acc
background,0.8839,0.9667
aeroplane,0.6609,0.7841
bicycle,0.1714,0.2538
bird,0.6921,0.7464
boat,0.3518,0.408
bottle,0.3742,0.4954
bus,0.6418,0.8295
car,0.5908,0.6896
cat,0.7782,0.8448
chair,0.1471,0.1832
cow,0.2755,0.5419
diningtable,0.3918,0.4902
dog,0.4394,0.6398
horse,0.342,0.4125
motorbike,0.495,0.5853
person,0.7002,0.8339
pottedplant,0.032,0.032
sheep,0.0,0.0
sofa,0.2299,0.3564
train,0.4922,0.5754
tvmonitor,0.5347,0.6179
