Class,IoU,Acc
background,0.8653,0.9687
aeroplane,0.0002,0.0002
bicycle,0.0,0.0
bird,0.2501,0.3446
boat,0.0003,0.0003
bottle,0.0,0.0
bus,0.4551,0.7688
car,0.0,0.0
cat,0.6338,0.8584
chair,0.0056,0.0058
cow,0.0103,0.0117
diningtable,0.0003,0.0003
dog,0.2743,0.5855
horse,0.2232,0.2541
motorbike,0.0,0.0
person,0.4862,0.8948
pottedplant,0.0,0.0
sheep,0.0127,0.0128
sofa,0.0003,0.0003
train,0.1382,0.184
tvmonitor,0.4446,0.4814
